,City,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Padang,87.85,broken clouds,-0.9492,100.3543,Mercure Padang
2,Vaini,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
6,Bambanglipuro,81.3,overcast clouds,-7.95,110.2833,Puri Brata
7,Karwar,78.53,overcast clouds,14.8,74.1333,Netalco Connects
8,Butaritari,81.84,light rain,3.0707,172.7902,Isles Sunset Lodge
17,Tegal,87.46,broken clouds,-6.8694,109.1402,Riez Palace Hotel
26,Boa Vista,82.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
31,Bethel,80.96,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
36,Kahului,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
39,Kudahuvadhoo,81.46,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
46,Farah,85.42,clear sky,32.5,62.5,
51,Samarai,78.66,overcast clouds,-10.6167,150.6667,Nuli Sapi
52,Bengkulu,83.23,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
56,Oranjestad,80.94,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
58,Kapaa,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
60,Lagos,75.52,broken clouds,6.5833,3.75,
61,Dali,78.01,clear sky,25.7,100.1833,Dali Travelling With Hostel
63,Avarua,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
64,Balkanabat,87.55,scattered clouds,39.5108,54.3671,Nebitchi Hotel
66,Yumen,84.9,clear sky,40.2833,97.2,
68,Mantua,78.04,few clouds,45.1667,10.7833,Hotel la Favorita
69,Wakkanai,80.58,few clouds,45.4094,141.6739,Hyōsetsu-sō
75,Tapikan,84.29,scattered clouds,6.8519,124.3225,
83,Saint George,83.95,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
84,Ormond Beach,82.09,broken clouds,29.2858,-81.0559,Makai Beach Lodge
85,Veraval,81.59,overcast clouds,20.9,70.3667,Lords Inn Somnath
86,Labuhan,88.23,overcast clouds,-6.8844,112.2051,DoubleFAG
94,Georgetown,89.53,haze,5.4112,100.3354,Cititel Penang
95,Oussouye,78.17,broken clouds,12.485,-16.5469,Auberge du Routard
96,Mogadishu,75.72,light rain,2.0371,45.3438,Hotel Juba
100,Luganville,79.75,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
102,Atuona,77.56,clear sky,-9.8,-139.0333,Villa Enata
103,Tutoia,77.31,few clouds,-2.7619,-42.2744,Tutóia Pousada Vila Beach
104,Osypenko,77.5,overcast clouds,46.9136,36.8253,
113,Mount Isa,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
