City_ID,City,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Padang,2022-08-10 04:15:37,-0.9492,100.3543,87.85,66,78,4.36,broken clouds
1,Bambous Virieux,2022-08-10 04:15:37,-20.3428,57.7575,70.21,73,75,16.11,broken clouds
2,Vaini,2022-08-10 04:15:37,-21.2,-175.2,78.96,94,40,9.22,scattered clouds
3,Tupiza,2022-08-10 04:15:38,-21.45,-65.7167,38.28,19,0,2.98,clear sky
4,Busselton,2022-08-10 04:15:38,-33.65,115.3333,57.34,72,98,12.53,overcast clouds
5,Ponta Do Sol,2022-08-10 04:15:39,32.6667,-17.1,70.72,87,15,6.67,few clouds
6,Bambanglipuro,2022-08-10 04:15:39,-7.95,110.2833,81.3,76,87,13.42,overcast clouds
7,Karwar,2022-08-10 04:15:39,14.8,74.1333,78.53,86,99,19.48,overcast clouds
8,Butaritari,2022-08-10 04:15:40,3.0707,172.7902,81.84,75,11,13.0,light rain
9,Cape Town,2022-08-10 04:11:24,-33.9258,18.4232,56.1,91,78,4.0,broken clouds
10,Broken Hill,2022-08-10 04:15:40,-31.95,141.4333,57.97,36,100,19.95,moderate rain
11,Ancud,2022-08-10 04:15:41,-41.8697,-73.8203,46.22,83,100,4.07,overcast clouds
12,Klaksvik,2022-08-10 04:15:41,62.2266,-6.589,54.52,96,100,29.8,light rain
13,Barrow,2022-08-10 04:15:42,71.2906,-156.7887,42.82,81,100,16.11,light rain
14,Sur,2022-08-10 04:15:42,22.5667,59.5289,91.74,50,100,5.68,overcast clouds
15,Ushuaia,2022-08-10 04:11:31,-54.8,-68.3,40.66,81,40,9.22,scattered clouds
16,Tongren,2022-08-10 04:15:43,27.7172,109.1853,92.86,47,67,7.38,broken clouds
17,Tegal,2022-08-10 04:15:43,-6.8694,109.1402,87.46,56,71,1.07,broken clouds
18,Tuktoyaktuk,2022-08-10 04:15:44,69.4541,-133.0374,48.2,81,100,23.02,overcast clouds
19,Berdsk,2022-08-10 04:15:44,54.7551,83.0967,74.8,57,2,9.93,clear sky
20,Ribeira Grande,2022-08-10 04:15:44,38.5167,-28.7,73.26,78,15,2.46,few clouds
21,Ahipara,2022-08-10 04:15:45,-35.1667,173.1667,57.61,61,76,2.71,broken clouds
22,Luanda,2022-08-10 04:15:45,-8.8368,13.2343,66.2,94,75,9.22,broken clouds
23,Mahebourg,2022-08-10 04:15:46,-20.4081,57.7,70.25,73,75,16.11,broken clouds
24,Punta Arenas,2022-08-10 04:15:46,-53.15,-70.9167,39.31,87,75,12.66,broken clouds
25,Albany,2022-08-10 04:14:11,42.6001,-73.9662,68.41,82,24,2.84,few clouds
26,Boa Vista,2022-08-10 04:15:47,2.8197,-60.6733,82.38,65,40,2.3,scattered clouds
27,Hobart,2022-08-10 04:13:07,-42.8794,147.3294,55.26,55,40,10.36,scattered clouds
28,Walvis Bay,2022-08-10 04:15:47,-22.9575,14.5053,51.1,100,0,2.3,clear sky
29,Rikitea,2022-08-10 04:15:48,-23.1203,-134.9692,73.51,79,100,18.88,overcast clouds
30,Adrar,2022-08-10 04:15:48,20.5022,-10.0711,90.75,10,27,20.02,scattered clouds
31,Bethel,2022-08-10 04:15:48,41.3712,-73.414,80.96,74,100,4.61,overcast clouds
32,Lagoa,2022-08-10 04:15:49,39.05,-27.9833,70.97,81,40,9.22,scattered clouds
33,Anadyr,2022-08-10 04:15:49,64.75,177.4833,68.5,52,0,13.42,clear sky
34,Fratautii Noi,2022-08-10 04:15:50,47.9426,25.8447,59.41,95,100,7.76,light rain
35,Khatanga,2022-08-10 04:15:50,71.9667,102.5,57.96,58,94,18.66,light rain
36,Kahului,2022-08-10 04:15:50,20.8947,-156.47,84.22,66,20,26.46,few clouds
37,Whitehorse,2022-08-10 04:15:28,60.7161,-135.0538,63.37,44,75,11.5,broken clouds
38,Pevek,2022-08-10 04:15:51,69.7008,170.3133,41.47,99,100,2.42,overcast clouds
39,Kudahuvadhoo,2022-08-10 04:15:51,2.6708,72.8944,81.46,75,88,4.18,overcast clouds
40,Val,2022-08-10 04:15:51,47.3626,18.6793,67.68,57,41,7.07,scattered clouds
